iter	Passed	Remaining
0	60	30175
1	118	29600
2	175	29021
3	227	28242
4	278	27603
5	333	27422
6	382	26933
7	432	26592
8	483	26391
9	535	26260
10	591	26274
11	644	26191
12	697	26142
13	763	26510
14	830	26858
15	905	27388
16	963	27378
17	1024	27429
18	1097	27782
19	1156	27763
20	1212	27660
21	1269	27584
22	1331	27606
23	1395	27668
24	1456	27672
25	1520	27712
26	1576	27626
27	1636	27583
28	1691	27477
29	1755	27503
30	1811	27402
31	1867	27308
32	1926	27267
33	1982	27176
34	2038	27085
35	2101	27080
36	2162	27062
37	2218	26968
38	2274	26884
39	2330	26797
40	2381	26664
41	2439	26606
42	2490	26469
43	2548	26408
44	2604	26329
45	2662	26273
46	2719	26213
47	2778	26163
48	2833	26083
49	2891	26019
50	2950	25972
51	3002	25864
52	3058	25794
53	3114	25723
54	3178	25717
55	3230	25610
56	3285	25535
57	3341	25463
58	3393	25367
59	3450	25303
60	3499	25182
61	3551	25091
62	3603	24992
63	3650	24872
64	3709	24824
65	3773	24810
66	3828	24740
67	3888	24702
68	3947	24659
69	4006	24611
70	4066	24568
71	4120	24491
72	4174	24415
73	4227	24339
74	4287	24293
75	4336	24194
76	4385	24089
77	4435	23998
78	4492	23941
79	4547	23874
80	4605	23823
81	4657	23741
82	4722	23725
83	4776	23654
84	4826	23562
85	4880	23492
86	4930	23404
87	4988	23357
88	5036	23258
89	5093	23202
90	5141	23106
91	5208	23100
92	5265	23043
93	5315	22960
94	5372	22903
95	5422	22821
96	5475	22749
97	5610	23015
98	5664	22945
99	5728	22913
100	5784	22851
101	5841	22792
102	5896	22728
103	5947	22647
104	6003	22585
105	6060	22527
106	6116	22464
107	6163	22372
108	6214	22291
109	6269	22228
110	6322	22157
111	6375	22085
112	6427	22011
113	6481	21947
114	6537	21886
115	6591	21821
116	6648	21763
117	6699	21687
118	6753	21621
119	6811	21569
120	6863	21498
121	6926	21459
122	6977	21386
123	7037	21339
124	7085	21256
125	7143	21203
126	7189	21116
127	7243	21052
128	7308	21019
129	7360	20948
130	7412	20879
131	7468	20821
132	7521	20756
133	7574	20688
134	7623	20612
135	7676	20545
136	7735	20495
137	7801	20464
138	7862	20419
139	7912	20347
140	7973	20301
141	8030	20246
142	8091	20200
143	8146	20140
144	8196	20067
145	8246	19994
146	8292	19913
147	8345	19848
148	8397	19783
149	8450	19718
150	8496	19638
151	8553	19582
152	8604	19513
153	8654	19443
154	8705	19375
155	8755	19307
156	8808	19243
157	8858	19174
158	8906	19101
159	8956	19032
160	9009	18970
161	9060	18904
162	9113	18841
163	9171	18790
164	9223	18725
165	9274	18660
166	9334	18612
167	9387	18551
168	9442	18494
169	9494	18429
170	9545	18364
171	9595	18298
172	9647	18235
173	9700	18173
174	9747	18103
175	9793	18029
176	9844	17965
177	9890	17892
178	9940	17825
179	9987	17755
180	10037	17691
181	10082	17616
182	10132	17552
183	10182	17487
184	10231	17421
185	10276	17347
186	10319	17273
187	10367	17206
188	10414	17137
189	10456	17060
190	10506	16997
191	10553	16929
192	10601	16863
193	10654	16805
194	10714	16758
195	10764	16695
196	10823	16646
197	10871	16581
198	10920	16517
199	10972	16458
200	11021	16394
201	11069	16330
202	11123	16274
203	11176	16217
204	11225	16154
205	11272	16087
206	11319	16022
207	11369	15961
208	11423	15904
209	11471	15842
210	11520	15779
211	11565	15712
212	11613	15648
213	11660	15583
214	11709	15521
215	11754	15455
216	11803	15393
217	11854	15334
218	11907	15279
219	11952	15212
220	12001	15151
221	12047	15086
222	12093	15021
223	12145	14965
224	12193	14903
225	12241	14841
226	12289	14780
227	12335	14716
228	12383	14654
229	12432	14594
230	12474	14526
231	12524	14468
232	12571	14406
233	12624	14350
234	12673	14291
235	12725	14235
236	12773	14175
237	12823	14116
238	12868	14053
239	12914	13991
240	12965	13933
241	13009	13869
242	13051	13803
243	13103	13748
244	13145	13681
245	13196	13625
246	13243	13564
247	13294	13509
248	13339	13446
249	13383	13383
250	13438	13331
251	13492	13277
252	13539	13218
253	13584	13157
254	13632	13097
255	13752	13107
256	13806	13054
257	13852	12993
258	13900	12934
259	13943	12870
260	13992	12812
261	14037	12751
262	14086	12693
263	14132	12633
264	14183	12577
265	14231	12519
266	14280	12462
267	14326	12401
268	14425	12387
269	14503	12355
270	14561	12304
271	14609	12246
272	14653	12184
273	14709	12132
274	14756	12073
275	14806	12016
276	14851	11956
277	14895	11894
278	14940	11834
279	14999	11785
280	15045	11725
281	15097	11671
282	15144	11612
283	15193	11555
284	15238	11496
285	15290	11441
286	15332	11378
287	15376	11318
288	15420	11258
289	15464	11198
290	15519	11146
291	15567	11088
292	15618	11034
293	15673	10981
294	15724	10927
295	15772	10870
296	15822	10814
297	15868	10756
298	15916	10699
299	15958	10639
300	16006	10582
301	16057	10527
302	16107	10472
303	16152	10414
304	16201	10358
305	16246	10300
306	16294	10243
307	16346	10189
308	16391	10132
309	16436	10073
310	16482	10016
311	16527	9958
312	16570	9900
313	16614	9841
314	16663	9786
315	16708	9729
316	16753	9671
317	16806	9618
318	16863	9568
319	16911	9512
320	16956	9455
321	17005	9400
322	17046	9341
323	17094	9285
324	17144	9231
325	17192	9176
326	17241	9121
327	17293	9068
328	17341	9013
329	17386	8956
330	17433	8900
331	17483	8847
332	17538	8795
333	17591	8742
334	17642	8689
335	17696	8637
336	17744	8582
337	17789	8526
338	17831	8468
339	17883	8415
340	17937	8363
341	17989	8311
342	18036	8255
343	18096	8206
344	18144	8152
345	18193	8097
346	18243	8043
347	18287	7987
348	18336	7933
349	18391	7882
350	18440	7828
351	18487	7772
352	18533	7717
353	18578	7662
354	18632	7610
355	18680	7556
356	18728	7501
357	18772	7445
358	18819	7391
359	18866	7337
360	18918	7284
361	18970	7231
362	19016	7177
363	19062	7122
364	19108	7067
365	19152	7012
366	19203	6959
367	19248	6904
368	19289	6848
369	19334	6793
370	19381	6739
371	19430	6685
372	19478	6631
373	19525	6578
374	19577	6525
375	19630	6473
376	19689	6423
377	19732	6368
378	19781	6315
379	19826	6260
380	19873	6207
381	19921	6153
382	19970	6100
383	20018	6047
384	20068	5994
385	20114	5940
386	20165	5888
387	20214	5834
388	20260	5781
389	20301	5726
390	20353	5673
391	20396	5619
392	20442	5565
393	20492	5513
394	20540	5460
395	20588	5407
396	20630	5352
397	20685	5301
398	20735	5248
